Date,Price,Open,High,Low,Change %
04-Dec-19,26567000,26065000,27000000,25880000,-0.05%
03-Dec-19,26495000,26567000,26736000,26441000,0.04%
02-Dec-19,26380000,26492000,26681000,25778000,0.56%
29-Nov-19,25971000,26380000,26450000,25774000,0.07%
28-Nov-19,26176000,25972000,26227000,25841000,0.09%
27-Nov-19,26205000,26175000,26500000,26000000,-0.19%
26-Nov-19,26301000,26205000,26507000,26128000,0.05%
25-Nov-19,26360000,26301000,26498000,26208000,-0.09%
22-Nov-19,26503000,26360000,26608000,26322000,-0.32%
21-Nov-19,26207000,26503000,26571000,26171000,-0.13%
20-Nov-19,26351000,26207000,26422000,26189000,-0.05%
19-Nov-19,27165000,26348000,27271000,26263000,0.06%
18-Nov-19,26530000,27165000,27237000,26480000,0.18%
15-Nov-19,26838000,26530000,26950000,26420000,0.26%
14-Nov-19,27122000,26838000,27160000,26647000,0.15%
13-Nov-19,27424000,27122000,27537000,26983000,-0.02%
12-Nov-19,27384000,27418000,27489000,27201000,-0.22%
11-Nov-19,27381000,27377000,27530000,27250000,0.14%
08-Nov-19,28401000,27380000,28480000,27312000,-0.29%
07-Nov-19,28575000,28400000,28783000,28167000,-0.15%
06-Nov-19,29378000,28575000,29524000,28475000,-0.07%
05-Nov-19,29450000,29378000,30010000,29000000,-0.48%
04-Nov-19,30635000,29451000,30714000,29450000,-0.35%
01-Nov-19,30785000,30635000,31800000,30000000,0.13%
31-Oct-19,30331000,30785000,30840000,29511000,0.02%
30-Oct-19,29974000,30331000,30453000,29383000,0.34%
29-Oct-19,29319000,29983000,29983000,28802000,0.11%
28-Oct-19,30379000,29347000,30587000,29167000,0.18%
25-Oct-19,30050000,30380000,30391000,29900000,-0.22%
24-Oct-19,29802000,30046000,30077000,29510000,-0.24%
23-Oct-19,29913000,29818000,30587000,29650000,0.05%
22-Oct-19,30001000,29913000,30200000,29766000,-0.22%
21-Oct-19,30249000,30001000,30300000,29700000,-0.20%
18-Oct-19,29705000,30219000,30270000,29705000,0.42%
17-Oct-19,29608000,29706000,29905000,29028000,0.47%
16-Oct-19,30136000,29603000,30164000,29600000,0.35%
15-Oct-19,30043000,30123000,30224000,29751000,0.04%
14-Oct-19,30011000,30044000,30045000,29600000,-0.12%
11-Oct-19,30498000,30022000,30520000,29902000,0.33%
10-Oct-19,31430000,30498000,31430000,30466000,0.32%
09-Oct-19,31586000,31430000,31743000,31143000,0.14%
08-Oct-19,30966000,31586000,31739000,30333000,-0.14%
